Ref,Val,Package,PosX,PosY,Rot,Side
"D78","D_Small","D_SOD-123",217.487500,-54.768750,90.000000,bottom
"D79","D_Small","D_SOD-123",217.487500,-73.818750,90.000000,bottom
"D80","D_Small","D_SOD-123",236.537500,0.000000,90.000000,bottom
"D81","D_Small","D_SOD-123",236.537500,-19.050000,90.000000,bottom
"D82","D_Small","D_SOD-123",236.537500,-38.100000,90.000000,bottom
"D83","D_Small","D_SOD-123",236.537500,-57.150000,90.000000,bottom
"D84","D_Small","D_SOD-123",236.537500,-76.200000,90.000000,bottom
"D85","D_Small","D_SOD-123",138.112500,-118.268750,180.000000,bottom
"D86","D_Small","D_SOD-123",255.587500,0.000000,90.000000,bottom
"D87","D_Small","D_SOD-123",243.681250,-19.843750,0.000000,bottom
"D88","D_Small","D_SOD-123",255.587500,-38.100000,90.000000,bottom
"D89","D_Small","D_SOD-123",255.587500,-57.150000,90.000000,bottom
"D90","D_Small","D_SOD-123",255.587500,-76.200000,90.000000,bottom
"D91","D_Small","D_SOD-123",157.162500,-118.268750,180.000000,bottom
"D92","D_Small","D_SOD-123",181.768750,-116.681250,90.000000,bottom
"F1","500ma","Fuse_1206_3216Metric",9.525000,-66.675000,0.000000,bottom
"F2","500ma","Fuse_1206_3216Metric",242.887500,-66.675000,0.000000,bottom
"J2","Conn_01x05","JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal",19.050000,-94.456250,0.000000,bottom
"J3","Conn_01x05","JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal",19.050000,-62.706250,180.000000,bottom
"J4","Conn_01x05","JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal",88.106250,-81.756250,180.000000,bottom
"J5","Conn_01x05","JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal",88.106250,-113.506250,0.000000,bottom
"J7","Conn_01x05","JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal",233.362500,-62.706250,180.000000,bottom
