Designator,Mid X,Mid Y,Layer,Rotation
R15,-108.743750,-76.200000,bottom,180.000000
R16,-143.668750,-76.200000,bottom,0.000000
SW90,-114.300000,-19.050000,bottom,90.000000
SW91,-138.112500,-19.050000,bottom,90.000000
SW92,-117.475000,-71.437500,bottom,0.000000
SW93,-134.937500,-71.437500,bottom,180.000000
SW94,-117.475000,-78.068750,bottom,180.000000
SW95,-134.937500,-78.068750,bottom,180.000000
U1,-92.075000,-69.850000,bottom,-90.000000
U2,-160.337500,-69.850000,bottom,-90.000000
U3,-173.037500,-69.850000,bottom,0.000000
U4,-79.375000,-69.850000,bottom,180.000000
U5,-0.750000,-62.750000,bottom,-90.000000
U6,-220.000000,-94.500000,bottom,0.000000
USB1,9.525000,-31.750000,bottom,90.000000
USB2,-261.143750,-31.750000,bottom,-90.000000
