Ref,PosX,PosY,Rot,Side
SW4,0.000000,-19.050000,0.000000,bottom
SW5,0.000000,-38.100000,0.000000,bottom
SW6,0.000000,-57.150000,0.000000,bottom
SW7,0.000000,-76.200000,0.000000,bottom
SW8,19.050000,-100.012500,180.000000,bottom
SW9,19.050000,-119.062500,0.000000,bottom
SW10,19.050000,0.000000,0.000000,bottom
SW11,19.050000,-19.050000,0.000000,bottom
SW12,19.050000,-38.100000,0.000000,bottom
SW13,19.050000,-57.150000,0.000000,bottom
SW14,19.050000,-76.200000,0.000000,bottom
SW15,38.100000,-119.062500,0.000000,bottom
SW16,38.100000,2.381250,0.000000,bottom
SW17,38.100000,-16.668750,0.000000,bottom
SW18,38.100000,-35.718750,0.000000,bottom
SW19,38.100000,-54.768750,0.000000,bottom
SW20,38.100000,-73.818750,0.000000,bottom
SW21,57.150000,4.762500,0.000000,bottom
SW22,57.150000,-14.287500,0.000000,bottom
SW23,57.150000,-33.337500,0.000000,bottom
SW24,57.150000,-52.387500,0.000000,bottom
SW25,57.150000,-71.437500,0.000000,bottom
SW26,64.293750,-92.868750,0.000000,bottom
SW27,76.200000,2.381250,0.000000,bottom
SW28,76.200000,-16.668750,0.000000,bottom
SW29,76.200000,-35.718750,0.000000,bottom
SW30,76.200000,-54.768750,0.000000,bottom
SW31,76.200000,-73.818750,0.000000,bottom
SW32,73.818750,-116.681250,0.000000,bottom
SW33,95.250000,0.000000,0.000000,bottom
SW34,95.250000,-19.050000,0.000000,bottom
SW35,95.250000,-38.100000,0.000000,bottom
SW36,95.250000,-57.150000,0.000000,bottom
SW37,95.250000,-76.200000,0.000000,bottom
SW39,95.250000,-95.250000,0.000000,bottom
SW40,95.250000,-121.443750,270.000000,bottom
SW41,114.300000,-9.525000,0.000000,bottom
SW42,114.300000,-30.956250,270.000000,bottom
SW43,114.300000,-59.531250,270.000000,bottom
SW44,114.300000,-90.487500,270.000000,bottom
SW45,114.300000,-121.443750,270.000000,bottom
SW48,138.112500,-9.525000,0.000000,bottom
SW49,138.112500,-28.575000,0.000000,bottom
SW50,138.112500,-52.387500,90.000000,bottom
SW52,214.312500,-119.062500,0.000000,bottom
SW53,157.162500,0.000000,0.000000,bottom
SW54,157.162500,-19.050000,0.000000,bottom
SW55,157.162500,-38.100000,0.000000,bottom
SW56,157.162500,-57.150000,0.000000,bottom
SW57,157.162500,-76.200000,0.000000,bottom
SW58,157.162500,-95.250000,0.000000,bottom
SW59,233.362500,-100.012500,180.000000,bottom
SW60,233.362500,-119.062500,0.000000,bottom
SW61,176.212500,2.381250,0.000000,bottom
SW62,176.212500,-16.668750,0.000000,bottom
SW63,176.212500,-35.718750,0.000000,bottom
SW64,176.212500,-54.768750,0.000000,bottom
SW65,176.212500,-73.818750,0.000000,bottom
SW67,252.412500,-119.062500,0.000000,bottom
SW68,195.262500,4.762500,0.000000,bottom
SW69,195.262500,-14.287500,0.000000,bottom
SW70,195.262500,-33.337500,0.000000,bottom
SW71,195.262500,-52.387500,0.000000,bottom
SW72,195.262500,-71.437500,0.000000,bottom
SW73,192.881250,-92.868750,0.000000,bottom
SW74,214.312500,2.381250,0.000000,bottom
SW75,214.312500,-16.668750,0.000000,bottom
SW76,214.312500,-35.718750,0.000000,bottom
SW77,214.312500,-54.768750,0.000000,bottom
SW78,214.312500,-73.818750,0.000000,bottom
SW79,233.362500,0.000000,0.000000,bottom
SW80,233.362500,-19.050000,0.000000,bottom
SW81,233.362500,-38.100000,0.000000,bottom
SW82,233.362500,-57.150000,0.000000,bottom
SW83,233.362500,-76.200000,0.000000,bottom
SW84,138.112500,-121.443750,90.000000,bottom
SW85,252.412500,0.000000,0.000000,bottom
SW86,252.412500,-19.050000,0.000000,bottom
SW87,252.412500,-38.100000,0.000000,bottom
SW88,252.412500,-57.150000,0.000000,bottom
SW89,252.412500,-76.200000,0.000000,bottom
SW90,157.162500,-121.443750,90.000000,bottom
SW91,178.593750,-116.681250,0.000000,bottom
